id_dia,DescripcionDia,id_horario,fecha,hora_inicio,hora_fin
7330,Martes,1,2044-06-07,08:30:00,18:00:00
7331,Miercoles,1,2044-06-08,08:30:00,18:00:00
7332,Jueves,1,2044-06-09,08:30:00,18:00:00
7333,Viernes,1,2044-06-10,08:30:00,18:00:00
7334,Sabado,2,2044-06-11,08:30:00,13:00:00
7335,Domingo,2,2044-06-12,08:30:00,13:00:00
7336,Lunes,1,2044-06-13,08:30:00,18:00:00
7337,Martes,1,2044-06-14,08:30:00,18:00:00
7338,Miercoles,1,2044-06-15,08:30:00,18:00:00
7339,Jueves,1,2044-06-16,08:30:00,18:00:00
7340,Viernes,1,2044-06-17,08:30:00,18:00:00
7341,Sabado,2,2044-06-18,08:30:00,13:00:00
7342,Domingo,2,2044-06-19,08:30:00,13:00:00
7343,Lunes,1,2044-06-20,08:30:00,18:00:00
7344,Martes,1,2044-06-21,08:30:00,18:00:00
7345,Miercoles,1,2044-06-22,08:30:00,18:00:00
7346,Jueves,1,2044-06-23,08:30:00,18:00:00
7347,Viernes,1,2044-06-24,08:30:00,18:00:00
7348,Sabado,2,2044-06-25,08:30:00,13:00:00
7349,Domingo,2,2044-06-26,08:30:00,13:00:00
7350,Lunes,1,2044-06-27,08:30:00,18:00:00
7351,Martes,1,2044-06-28,08:30:00,18:00:00
7352,Miercoles,1,2044-06-29,08:30:00,18:00:00
7353,Jueves,1,2044-06-30,08:30:00,18:00:00
7354,Viernes,1,2044-07-01,08:30:00,18:00:00
7355,Sabado,2,2044-07-02,08:30:00,13:00:00
7356,Domingo,2,2044-07-03,08:30:00,13:00:00
7357,Lunes,1,2044-07-04,08:30:00,18:00:00
7358,Martes,1,2044-07-05,08:30:00,18:00:00
7359,Miercoles,1,2044-07-06,08:30:00,18:00:00
7360,Jueves,1,2044-07-07,08:30:00,18:00:00
7361,Viernes,1,2044-07-08,08:30:00,18:00:00
7362,Sabado,2,2044-07-09,08:30:00,13:00:00
7363,Domingo,2,2044-07-10,08:30:00,13:00:00
7364,Lunes,1,2044-07-11,08:30:00,18:00:00
7365,Martes,1,2044-07-12,08:30:00,18:00:00
7366,Miercoles,1,2044-07-13,08:30:00,18:00:00
7367,Jueves,1,2044-07-14,08:30:00,18:00:00
7368,Viernes,1,2044-07-15,08:30:00,18:00:00
7369,Sabado,2,2044-07-16,08:30:00,13:00:00
7370,Domingo,2,2044-07-17,08:30:00,13:00:00
7371,Lunes,1,2044-07-18,08:30:00,18:00:00
7372,Martes,1,2044-07-19,08:30:00,18:00:00
7373,Miercoles,1,2044-07-20,08:30:00,18:00:00
7374,Jueves,1,2044-07-21,08:30:00,18:00:00
7375,Viernes,1,2044-07-22,08:30:00,18:00:00
7376,Sabado,2,2044-07-23,08:30:00,13:00:00
7377,Domingo,2,2044-07-24,08:30:00,13:00:00
7378,Lunes,1,2044-07-25,08:30:00,18:00:00
7379,Martes,1,2044-07-26,08:30:00,18:00:00
7380,Miercoles,1,2044-07-27,08:30:00,18:00:00
7381,Jueves,1,2044-07-28,08:30:00,18:00:00
7382,Viernes,1,2044-07-29,08:30:00,18:00:00
7383,Sabado,2,2044-07-30,08:30:00,13:00:00
7384,Domingo,2,2044-07-31,08:30:00,13:00:00
7385,Lunes,1,2044-08-01,08:30:00,18:00:00
7386,Martes,1,2044-08-02,08:30:00,18:00:00
7387,Miercoles,1,2044-08-03,08:30:00,18:00:00
7388,Jueves,1,2044-08-04,08:30:00,18:00:00
7389,Viernes,1,2044-08-05,08:30:00,18:00:00
7390,Sabado,2,2044-08-06,08:30:00,13:00:00
7391,Domingo,2,2044-08-07,08:30:00,13:00:00
7392,Lunes,1,2044-08-08,08:30:00,18:00:00
7393,Martes,1,2044-08-09,08:30:00,18:00:00
7394,Miercoles,1,2044-08-10,08:30:00,18:00:00
7395,Jueves,1,2044-08-11,08:30:00,18:00:00
7396,Viernes,1,2044-08-12,08:30:00,18:00:00
7397,Sabado,2,2044-08-13,08:30:00,13:00:00
7398,Domingo,2,2044-08-14,08:30:00,13:00:00
7399,Lunes,1,2044-08-15,08:30:00,18:00:00
7400,Martes,1,2044-08-16,08:30:00,18:00:00
7401,Miercoles,1,2044-08-17,08:30:00,18:00:00
7402,Jueves,1,2044-08-18,08:30:00,18:00:00
7403,Viernes,1,2044-08-19,08:30:00,18:00:00
7404,Sabado,2,2044-08-20,08:30:00,13:00:00
7405,Domingo,2,2044-08-21,08:30:00,13:00:00
7406,Lunes,1,2044-08-22,08:30:00,18:00:00
7407,Martes,1,2044-08-23,08:30:00,18:00:00
7408,Miercoles,1,2044-08-24,08:30:00,18:00:00
7409,Jueves,1,2044-08-25,08:30:00,18:00:00
7410,Viernes,1,2044-08-26,08:30:00,18:00:00
7411,Sabado,2,2044-08-27,08:30:00,13:00:00
7412,Domingo,2,2044-08-28,08:30:00,13:00:00
7413,Lunes,1,2044-08-29,08:30:00,18:00:00
7414,Martes,1,2044-08-30,08:30:00,18:00:00
7415,Miercoles,1,2044-08-31,08:30:00,18:00:00
7416,Jueves,1,2044-09-01,08:30:00,18:00:00
7417,Viernes,1,2044-09-02,08:30:00,18:00:00
7418,Sabado,2,2044-09-03,08:30:00,13:00:00
7419,Domingo,2,2044-09-04,08:30:00,13:00:00
7420,Lunes,1,2044-09-05,08:30:00,18:00:00
7421,Martes,1,2044-09-06,08:30:00,18:00:00
7422,Miercoles,1,2044-09-07,08:30:00,18:00:00
7423,Jueves,1,2044-09-08,08:30:00,18:00:00
7424,Viernes,1,2044-09-09,08:30:00,18:00:00
7425,Sabado,2,2044-09-10,08:30:00,13:00:00
7426,Domingo,2,2044-09-11,08:30:00,13:00:00
7427,Lunes,1,2044-09-12,08:30:00,18:00:00
7428,Martes,1,2044-09-13,08:30:00,18:00:00
7429,Miercoles,1,2044-09-14,08:30:00,18:00:00
7430,Jueves,1,2044-09-15,08:30:00,18:00:00
7431,Viernes,1,2044-09-16,08:30:00,18:00:00
7432,Sabado,2,2044-09-17,08:30:00,13:00:00
7433,Domingo,2,2044-09-18,08:30:00,13:00:00
7434,Lunes,1,2044-09-19,08:30:00,18:00:00
7435,Martes,1,2044-09-20,08:30:00,18:00:00
7436,Miercoles,1,2044-09-21,08:30:00,18:00:00
7437,Jueves,1,2044-09-22,08:30:00,18:00:00
7438,Viernes,1,2044-09-23,08:30:00,18:00:00
7439,Sabado,2,2044-09-24,08:30:00,13:00:00
7440,Domingo,2,2044-09-25,08:30:00,13:00:00
7441,Lunes,1,2044-09-26,08:30:00,18:00:00
7442,Martes,1,2044-09-27,08:30:00,18:00:00
7443,Miercoles,1,2044-09-28,08:30:00,18:00:00
7444,Jueves,1,2044-09-29,08:30:00,18:00:00
7445,Viernes,1,2044-09-30,08:30:00,18:00:00
7446,Sabado,2,2044-10-01,08:30:00,13:00:00
7447,Domingo,2,2044-10-02,08:30:00,13:00:00
7448,Lunes,1,2044-10-03,08:30:00,18:00:00
7449,Martes,1,2044-10-04,08:30:00,18:00:00
7450,Miercoles,1,2044-10-05,08:30:00,18:00:00
7451,Jueves,1,2044-10-06,08:30:00,18:00:00
7452,Viernes,1,2044-10-07,08:30:00,18:00:00
7453,Sabado,2,2044-10-08,08:30:00,13:00:00
7454,Domingo,2,2044-10-09,08:30:00,13:00:00
7455,Lunes,1,2044-10-10,08:30:00,18:00:00
7456,Martes,1,2044-10-11,08:30:00,18:00:00
7457,Miercoles,1,2044-10-12,08:30:00,18:00:00
7458,Jueves,1,2044-10-13,08:30:00,18:00:00
7459,Viernes,1,2044-10-14,08:30:00,18:00:00
7460,Sabado,2,2044-10-15,08:30:00,13:00:00
7461,Domingo,2,2044-10-16,08:30:00,13:00:00
7462,Lunes,1,2044-10-17,08:30:00,18:00:00
7463,Martes,1,2044-10-18,08:30:00,18:00:00
7464,Miercoles,1,2044-10-19,08:30:00,18:00:00
7465,Jueves,1,2044-10-20,08:30:00,18:00:00
7466,Viernes,1,2044-10-21,08:30:00,18:00:00
7467,Sabado,2,2044-10-22,08:30:00,13:00:00
7468,Domingo,2,2044-10-23,08:30:00,13:00:00
7469,Lunes,1,2044-10-24,08:30:00,18:00:00
7470,Martes,1,2044-10-25,08:30:00,18:00:00
7471,Miercoles,1,2044-10-26,08:30:00,18:00:00
7472,Jueves,1,2044-10-27,08:30:00,18:00:00
7473,Viernes,1,2044-10-28,08:30:00,18:00:00
7474,Sabado,2,2044-10-29,08:30:00,13:00:00
7475,Domingo,2,2044-10-30,08:30:00,13:00:00
7476,Lunes,1,2044-10-31,08:30:00,18:00:00
7477,Martes,1,2044-11-01,08:30:00,18:00:00
7478,Miercoles,1,2044-11-02,08:30:00,18:00:00
7479,Jueves,1,2044-11-03,08:30:00,18:00:00
7480,Viernes,1,2044-11-04,08:30:00,18:00:00
7481,Sabado,2,2044-11-05,08:30:00,13:00:00
7482,Domingo,2,2044-11-06,08:30:00,13:00:00
7483,Lunes,1,2044-11-07,08:30:00,18:00:00
7484,Martes,1,2044-11-08,08:30:00,18:00:00
7485,Miercoles,1,2044-11-09,08:30:00,18:00:00
7486,Jueves,1,2044-11-10,08:30:00,18:00:00
7487,Viernes,1,2044-11-11,08:30:00,18:00:00
7488,Sabado,2,2044-11-12,08:30:00,13:00:00
7489,Domingo,2,2044-11-13,08:30:00,13:00:00
7490,Lunes,1,2044-11-14,08:30:00,18:00:00
7491,Martes,1,2044-11-15,08:30:00,18:00:00
7492,Miercoles,1,2044-11-16,08:30:00,18:00:00
7493,Jueves,1,2044-11-17,08:30:00,18:00:00
7494,Viernes,1,2044-11-18,08:30:00,18:00:00
7495,Sabado,2,2044-11-19,08:30:00,13:00:00
7496,Domingo,2,2044-11-20,08:30:00,13:00:00
7497,Lunes,1,2044-11-21,08:30:00,18:00:00
7498,Martes,1,2044-11-22,08:30:00,18:00:00
7499,Miercoles,1,2044-11-23,08:30:00,18:00:00
7500,Jueves,1,2044-11-24,08:30:00,18:00:00
7501,Viernes,1,2044-11-25,08:30:00,18:00:00
7502,Sabado,2,2044-11-26,08:30:00,13:00:00
7503,Domingo,2,2044-11-27,08:30:00,13:00:00
7504,Lunes,1,2044-11-28,08:30:00,18:00:00
7505,Martes,1,2044-11-29,08:30:00,18:00:00
7506,Miercoles,1,2044-11-30,08:30:00,18:00:00
7507,Jueves,1,2044-12-01,08:30:00,18:00:00
7508,Viernes,1,2044-12-02,08:30:00,18:00:00
7509,Sabado,2,2044-12-03,08:30:00,13:00:00
7510,Domingo,2,2044-12-04,08:30:00,13:00:00
7511,Lunes,1,2044-12-05,08:30:00,18:00:00
7512,Martes,1,2044-12-06,08:30:00,18:00:00
7513,Miercoles,1,2044-12-07,08:30:00,18:00:00
7514,Jueves,1,2044-12-08,08:30:00,18:00:00
7515,Viernes,1,2044-12-09,08:30:00,18:00:00
7516,Sabado,2,2044-12-10,08:30:00,13:00:00
7517,Domingo,2,2044-12-11,08:30:00,13:00:00
7518,Lunes,1,2044-12-12,08:30:00,18:00:00
7519,Martes,1,2044-12-13,08:30:00,18:00:00
7520,Miercoles,1,2044-12-14,08:30:00,18:00:00
7521,Jueves,1,2044-12-15,08:30:00,18:00:00
7522,Viernes,1,2044-12-16,08:30:00,18:00:00
7523,Sabado,2,2044-12-17,08:30:00,13:00:00
7524,Domingo,2,2044-12-18,08:30:00,13:00:00
7525,Lunes,1,2044-12-19,08:30:00,18:00:00
7526,Martes,1,2044-12-20,08:30:00,18:00:00
7527,Miercoles,1,2044-12-21,08:30:00,18:00:00
7528,Jueves,1,2044-12-22,08:30:00,18:00:00
7529,Viernes,1,2044-12-23,08:30:00,18:00:00
7530,Sabado,2,2044-12-24,08:30:00,13:00:00
7531,Domingo,2,2044-12-25,08:30:00,13:00:00
7532,Lunes,1,2044-12-26,08:30:00,18:00:00
7533,Martes,1,2044-12-27,08:30:00,18:00:00
7534,Miercoles,1,2044-12-28,08:30:00,18:00:00
7535,Jueves,1,2044-12-29,08:30:00,18:00:00
7536,Viernes,1,2044-12-30,08:30:00,18:00:00
7537,Sabado,2,2044-12-31,08:30:00,13:00:00
7538,Domingo,2,2045-01-01,08:30:00,13:00:00
7539,Lunes,1,2045-01-02,08:30:00,18:00:00
7540,Martes,1,2045-01-03,08:30:00,18:00:00
